country,cluster,return_p_years,best_frequency,best_power,num_records,Number of the day,time_span_days
Japan,1,7.053,35.61712142428485,0.14699287709543232,71,45867,45867
Japan,2,23.655,10.412080416083217,0.16293624087663466,23,44971,44971
Papua New Guinea,1,10.997,22.41448089617924,0.16202716721697472,69,45006,45006
Philippines,1,29.603,8.411680336067214,0.12499155511082646,64,45466,45466
Tonga,1,7.947,31.01620124024805,0.2826041574403254,34,45005,45005
USA,1,9.521,26.215241048209645,0.21453654675906345,48,45571,45571
USA,2,,0.0,0.0,0,0,0
USA,3,,0.0,0.0,0,0,0
Mexico,1,7.712,31.816361272254454,0.15568708958386474,43,44802,44802
Mexico,2,,0.0,0.0,0,0,0
Canada,1,,0.0,0.0,0,0,0
Guatemala,1,,0.0,0.0,0,0,0
Russia,1,4.874,51.02020204040808,0.15473310813585306,56,45406,45406
Russia,2,,0.0,0.0,0,0,0
Russia,3,,0.0,0.0,0,0,0
China,1,,0.0,0.0,0,0,0
China,2,,0.0,0.0,0,0,0
India,1,,0.0,0.0,0,0,0
India,2,,0.0,0.0,0,0,0
Iran,1,,0.0,0.0,0,0,0
Iran,2,,0.0,0.0,0,0,0
Iran,3,,0.0,0.0,1,0,0
Nicaragua,1,,0.0,0.0,0,0,0
El Salvador,1,,0.0,0.0,0,0,0
Costa Rica,1,23.352,9.611920384076816,0.390019926070885,11,40984,40984
Dominican,1,,0.0,0.0,0,0,0
Chile,1,7.161,33.61672134426885,0.11625997033568261,44,43952,43952
Argentina,1,,0.0,0.0,0,0,0
Argentina,2,,0.0,0.0,0,0,0
Argentina,3,,0.0,0.0,0,0,0
Peru,1,29.401,8.011600320064014,0.3344918237878677,33,43008,43008
Colombia,1,,0.0,0.0,0,0,0
Colombia,2,,0.0,0.0,0,0,0
Indonesia,1,14.018,18.013600720144034,0.13268231127593488,89,46107,46107
Timor Leste,1,,0.0,0.0,0,0,0
Australia,3,,0.0,0.0,0,0,0
New Zealand,1,7.519,30.01600120024005,0.20884368581808022,35,41207,41207
New Zealand,2,16.395,8.611720344068814,0.29582429711571623,11,25779,25779
Algeria,1,,0.0,0.0,0,0,0
Algeria,2,,0.0,0.0,0,0,0
Somalia,1,,0.0,0.0,0,0,0
Somalia,2,,0.0,0.0,0,0,0
South Africa,1,,0.0,0.0,0,0,0
South Africa,2,,0.0,0.0,0,0,0
South Africa,3,,0.0,0.0,0,0,0
Saint Helena,1,,0.0,0.0,0,0,0
