country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
Japan,1,13.19,9,8,743,743,12915,4817.75,3511.0,3868.161861595246
Japan,2,26.869,2,1,9814,9814,9814,9814.0,9814.0,0.0
Japan,3,,0,,,,,,,
Papua New Guinea,1,32.431,3,2,4617,4617,19074,11845.5,11845.5,7228.5
Papua New Guinea,2,,0,,,,,,,
Papua New Guinea,3,,0,,,,,,,
Philippines,1,21.894,4,3,2069,2069,17764,7996.666666666667,4157.0,6958.952810748339
Philippines,2,,0,,,,,,,
Philippines,3,,,,,,,,,
Tonga,1,20.665,6,5,250,250,31780,7548.0,2136.0,12154.016669397817
Tonga,2,,,,,,,,,
Tonga,3,,,,,,,,,
USA,1,16.543,6,5,2576,2576,12867,6042.4,3995.0,3952.0305464406524
USA,2,,0,,,,,,,
USA,3,,0,,,,,,,
Mexico,1,28.422,4,3,3672,3672,19466,10381.0,8005.0,6663.1644634262675
Mexico,2,,0,,,,,,,
Mexico,3,,0,,,,,,,
Canada,1,,0,,,,,,,
Canada,2,,0,,,,,,,
Canada,3,,0,,,,,,,
Guatemala,1,,0,,,,,,,
Guatemala,2,,0,,,,,,,
Guatemala,3,,,,,,,,,
Russia,1,14.744,9,8,1610,1610,11314,5385.125,4232.0,3662.4270449218507
Russia,2,,0,,,,,,,
Russia,3,,0,,,,,,,
China,1,,0,,,,,,,
China,2,,0,,,,,,,
China,3,,0,,,,,,,
India,1,,0,,,,,,,
India,2,,0,,,,,,,
India,3,,0,,,,,,,
Iran,1,,0,,,,,,,
Iran,2,,0,,,,,,,
Iran,3,,0,,,,,,,
Nicaragua,1,,0,,,,,,,
Nicaragua,2,,,,,,,,,
Nicaragua,3,,,,,,,,,
El Salvador,1,,0,,,,,,,
Costa Rica,1,,0,,,,,,,
Costa Rica,2,,,,,,,,,
Dominican,1,,0,,,,,,,
Dominican,2,,0,,,,,,,
Chile,1,10.908,11,10,533,533,9051,3984.2,3626.5,2570.099912454767
Chile,2,,0,,,,,,,
Chile,3,,0,,,,,,,
Argentina,1,,0,,,,,,,
Argentina,2,,0,,,,,,,
Argentina,3,,1,,,,,,,
Peru,1,17.54,7,6,822,822,12668,6406.666666666667,6561.0,4244.012200212855
Peru,2,,0,,,,,,,
Peru,3,,0,,,,,,,
Colombia,1,,0,,,,,,,
Colombia,2,,0,,,,,,,
Colombia,3,,0,,,,,,,
Indonesia,1,11.187,10,9,447,447,8719,4086.222222222222,3235.0,3104.0810333701656
Indonesia,2,,0,,,,,,,
Indonesia,3,,0,,,,,,,
Timor Leste,1,,0,,,,,,,
Timor Leste,2,,,,,,,,,
Timor Leste,3,,,,,,,,,
Australia,1,,0,,,,,,,
Australia,2,,0,,,,,,,
Australia,3,,0,,,,,,,
New Zealand,1,51.921,3,2,16486,16486,21442,18964.0,18964.0,2478.0
New Zealand,2,,0,,,,,,,
New Zealand,3,,,,,,,,,
Algeria,1,,0,,,,,,,
Algeria,2,,0,,,,,,,
Algeria,3,,0,,,,,,,
Somalia,1,,0,,,,,,,
Somalia,2,,0,,,,,,,
Somalia,3,,,,,,,,,
South Africa,1,,0,,,,,,,
South Africa,2,,0,,,,,,,
South Africa,3,,0,,,,,,,
Saint Helena,1,,0,,,,,,,
Saint Helena,2,,0,,,,,,,
