country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
Japan,1,0.883,144,143,194,185,1218,322.23776223776224,296.0,124.32463471810253
Japan,2,0.97,130,129,198,184,1157,353.9922480620155,302.0,172.0827498854098
Japan,3,6.341,16,15,190,190,12287,2314.4,1796.0,2924.3878858090397
Papua New Guinea,1,0.904,141,140,216,182,1579,330.0285714285714,286.0,156.58292840979743
Papua New Guinea,2,1.569,47,46,207,182,3496,572.7391304347826,453.0,525.8701044266337
Papua New Guinea,3,3.273,33,32,420,196,15863,1194.6875,542.0,2706.9537241784815
Philippines,1,0.865,145,144,183,181,1016,315.7361111111111,272.5,136.21199705030426
Philippines,2,3.979,6,5,512,512,2742,1452.4,911.0,922.8726022588382
Philippines,3,,,,,,,,,
Tonga,1,0.956,130,129,222,182,1204,348.8759689922481,316.0,157.50171687273604
Tonga,2,,,,,,,,,
Tonga,3,,,,,,,,,
USA,1,0.896,141,140,181,181,759,327.15714285714284,307.5,115.09314683759234
USA,2,1.011,125,124,183,182,1405,368.93548387096774,309.0,208.1168151324993
USA,3,1.682,74,73,234,199,1919,613.986301369863,519.0,370.4572329651334
Mexico,1,1.0,127,126,187,185,1181,365.1031746031746,334.5,168.73186342820267
Mexico,2,1.124,111,110,194,184,2958,410.23636363636365,316.5,333.27913300395477
Mexico,3,1.995,50,49,223,188,6001,728.0,417.0,935.5082434000183
Canada,1,1.252,92,91,306,193,1941,457.0,355.0,290.4096008463499
Canada,2,4.565,18,17,239,239,6387,1666.1176470588234,1064.0,1667.038934664869
Canada,3,1.489,4,3,272,272,823,543.3333333333334,535.0,225.02197423560412
Guatemala,1,1.255,100,99,184,184,3777,458.1313131313131,325.0,468.45763790810076
Guatemala,2,16.263,8,7,304,304,23247,5936.0,3837.0,7380.304465264288
Guatemala,3,,,,,,,,,
Russia,1,0.841,150,149,187,181,1177,306.91946308724835,277.0,124.62666486086594
Russia,2,1.939,66,65,187,187,14055,707.723076923077,293.0,1843.4237920672945
Russia,3,3.233,38,37,192,192,20752,1180.1351351351352,464.0,3289.0016735729278
China,1,1.221,102,101,193,181,4597,445.84158415841586,323.0,488.01949183344277
China,2,1.627,68,67,231,181,5870,593.8358208955224,352.0,810.6703987646777
China,3,1.659,62,61,181,181,5499,605.4754098360655,380.0,753.3695152078454
India,1,1.188,102,101,194,184,3045,433.6732673267327,327.0,383.39510186861986
India,2,1.168,103,102,189,188,3315,426.2647058823529,318.5,405.92762144545486
India,3,1.575,78,77,205,188,5211,574.7662337662338,344.0,762.8265942439444
Iran,1,1.062,115,114,246,181,2260,387.79824561403507,303.0,310.34333505161214
Iran,2,1.853,56,55,385,187,4817,676.290909090909,442.0,825.7133262761855
Iran,3,2.85,41,40,399,190,4420,1040.35,618.0,1050.9097618254386
Nicaragua,1,1.233,102,101,211,182,3866,450.0990099009901,331.0,455.087294529944
Nicaragua,2,,,,,,,,,
Nicaragua,3,,,,,,,,,
El Salvador,1,1.409,90,89,203,184,4450,514.2808988764045,337.0,569.5199237671421
Costa Rica,1,1.293,98,97,183,183,3304,471.9484536082474,346.0,446.24865638156376
Costa Rica,2,,,,,,,,,
Dominican,1,1.547,73,72,286,184,8071,564.7083333333334,325.5,965.0547543116113
Dominican,2,9.63,3,2,472,472,6558,3515.0,3515.0,3043.0
Chile,1,0.948,130,129,309,187,1112,345.94573643410854,309.0,152.29516985410856
Chile,2,1.161,80,79,195,183,2761,423.88607594936707,301.0,425.3305784273702
Chile,3,1.488,68,67,242,183,13608,543.2089552238806,292.0,1629.695315698415
Argentina,1,1.375,78,77,288,181,7639,502.038961038961,312.0,974.2476076847406
Argentina,2,1.442,70,69,198,198,14530,526.1594202898551,301.0,1702.1230274783686
Argentina,3,2.304,50,49,233,182,12472,840.9591836734694,432.0,1793.6155704778434
Peru,1,1.065,113,112,230,184,2126,388.89285714285717,332.5,247.91071107006513
Peru,2,5.068,9,8,280,280,8752,1850.0,978.5,2642.021337915347
Peru,3,13.43,8,7,598,598,18438,4901.857142857143,2554.0,5772.180212724068
Colombia,1,1.52,79,78,334,186,5447,554.974358974359,338.0,747.6883859064957
Colombia,2,3.852,29,28,229,229,12632,1405.8214285714287,909.5,2253.039883826348
Colombia,3,14.641,4,3,274,274,12960,5344.0,2798.0,5483.0183901448545
Indonesia,1,0.883,144,143,188,181,689,322.42657342657344,303.0,102.55822085275452
Indonesia,2,3.132,32,31,196,196,10710,1143.1612903225807,602.0,1902.6206052531386
Indonesia,3,1.901,31,30,207,207,2672,693.9333333333333,462.5,568.2683012646597
Timor Leste,1,1.246,98,97,185,185,5050,454.64948453608247,294.0,624.4223068926151
Timor Leste,2,,,,,,,,,
Timor Leste,3,,,,,,,,,
Australia,1,1.368,75,74,269,183,3741,499.2567567567568,360.0,465.2608411334271
Australia,2,2.013,48,47,375,182,7303,734.7021276595744,404.0,1083.3883199008565
Australia,3,2.163,43,42,270,197,4391,789.5714285714286,438.5,856.9989482367592
New Zealand,1,0.956,122,121,187,182,921,348.9586776859504,325.0,138.87019902327455
New Zealand,2,1.346,81,80,301,181,3550,491.2625,327.5,482.0072028442625
New Zealand,3,,,,,,,,,
Algeria,1,4.686,25,24,184,184,6736,1710.375,956.0,1890.355628193189
Algeria,2,7.313,15,14,254,254,8505,2669.214285714286,1292.5,2750.4257119469294
Algeria,3,13.728,8,7,878,878,14416,5010.571428571428,2585.0,4533.660957048883
Somalia,1,1.553,39,38,182,182,2276,566.8157894736842,397.0,413.5065617288289
Somalia,2,4.054,26,25,194,194,17293,1479.64,483.0,3304.7804995793604
Somalia,3,,,,,,,,,
South Africa,1,3.123,17,16,248,248,3351,1139.875,817.5,876.4005844218727
South Africa,2,1.323,40,39,251,184,1285,482.7435897435897,365.0,296.38754238230297
South Africa,3,2.094,23,22,181,181,4159,764.2727272727273,574.5,822.8625855577247
Saint Helena,1,1.994,53,52,186,186,10513,727.7884615384615,347.5,1470.386335111371
Saint Helena,2,4.67,12,11,293,293,4474,1704.6363636363637,1683.0,1223.386230006123
