country,cluster,return_P_nomes,avg_gap,Number of record,Number of the day,percent,highest_amplitude,highest_frequency,highest_years_not_normalised
Japan,1,8.972,655.2428571428571,71,45867,13.9972,0.10563708100419023,28.0,4.484892930478146
Japan,2,22.391,2044.1363636363637,23,44971,5.4989,0.1029261608633376,11.0,11.193080704374339
Papua New Guinea,1,11.204,661.8529411764706,69,45006,10.9978,0.07496574173594227,22.0,5.600896023893971
Philippines,1,5.929,721.6825396825396,64,45466,20.9958,0.07190087436707526,42.0,2.963788663994003
Tonga,1,7.951,1363.7878787878788,34,45005,15.4969,0.132663330971752,31.0,3.974741118544523
USA,1,9.599,969.5957446808511,48,45571,12.9974,0.16365423063543547,26.0,4.798715316169115
USA,2,,0.0,0,0,0.0,0.0,0.0,0.0
USA,3,,0.0,0,0,0.0,0.0,0.0,0.0
Mexico,1,5.334,1066.7142857142858,43,44802,22.9954,0.08291865735361935,46.0,2.6665476296759216
Mexico,2,,0.0,0,0,0.0,0.0,0.0,0.0
Canada,1,,0.0,0,0,0.0,0.0,0.0,0.0
Guatemala,1,,0.0,0,0,0.0,0.0,0.0,0.0
Russia,1,4.876,825.5636363636364,56,45406,25.4949,0.13038450909673954,51.0,2.4375461341278473
Russia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Russia,3,,0.0,0,0,0.0,0.0,0.0,0.0
China,1,,0.0,0,0,0.0,0.0,0.0,0.0
China,2,,0.0,0,0,0.0,0.0,0.0,0.0
India,1,,0.0,0,0,0.0,0.0,0.0,0.0
India,2,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,1,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,2,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,3,,0.0,1,0,0.0,0.0,0.0,0.0
Nicaragua,1,,0.0,0,0,0.0,0.0,0.0,0.0
El Salvador,1,,0.0,0,0,0.0,0.0,0.0,0.0
Costa Rica,1,24.94,4098.4,11,40984,4.4991,0.09058252631189684,9.0,12.467564073313559
Dominican,1,,0.0,0,0,0.0,0.0,0.0,0.0
Chile,1,4.15,1022.1395348837209,44,43952,28.9942,0.16013478706822107,58.0,2.07472444475914
Argentina,1,,0.0,0,0,0.0,0.0,0.0,0.0
Argentina,2,,0.0,0,0,0.0,0.0,0.0,0.0
Argentina,3,,0.0,0,0,0.0,0.0,0.0,0.0
Peru,1,29.443,1344.0,33,43008,3.9992,0.17431452658305152,8.0,14.718685831622176
Colombia,1,,0.0,0,0,0.0,0.0,0.0,0.0
Colombia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Indonesia,1,14.029,523.9431818181819,89,46107,8.9982,0.10389860694527803,18.0,7.0130047912388775
Timor Leste,1,,0.0,0,0,0.0,0.0,0.0,0.0
Australia,3,,0.0,0,0,0.0,0.0,0.0,0.0
New Zealand,1,9.812,1211.9705882352941,35,41207,11.4977,0.09036768229027549,23.0,4.9051572776240215
New Zealand,2,,2577.9,11,25779,0.0,0.0,0.0,0.0
Algeria,1,,0.0,0,0,0.0,0.0,0.0,0.0
Algeria,2,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,1,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,2,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,1,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,2,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,3,,0.0,0,0,0.0,0.0,0.0,0.0
Saint Helena,1,,0.0,0,0,0.0,0.0,0.0,0.0
