country,cluster,return_p_years,best_frequency,best_power,num_records,Number of the day,time_span_days
Japan,1,1.95,128.8357651530306,0.07768025279936934,141,45867,45867
Japan,2,8.991,27.81556111222245,0.12024904362711217,115,45665,45665
Japan,3,,0.0,0.0,0,0,0
Papua New Guinea,1,13.742,18.41368073614723,0.07847806530785277,141,46204,46204
Papua New Guinea,2,21.773,6.01120024004801,0.479934299962309,12,23897,23897
Papua New Guinea,3,,0.0,0.0,0,0,0
Philippines,1,4.398,56.62132226445289,0.06393789589517332,139,45466,45466
Tonga,1,38.445,6.41128025605121,0.12411211024069033,125,45005,45005
USA,1,5.725,43.81876175235047,0.09946207093033092,139,45802,45802
USA,2,11.781,21.014200840168037,0.19901500156907287,60,45203,45203
USA,3,9.201,24.614920984196843,0.23378923584705114,25,41351,41351
Mexico,1,2.942,85.62712342468494,0.07334450387784837,110,46003,46003
Mexico,2,32.47,7.611520304060812,0.09262732597579479,69,45126,45126
Mexico,3,,0.0,0.0,0,0,0
Canada,1,7.114,32.01640128025605,0.11318547902420416,61,41587,41587
Canada,2,,0.0,0.0,0,0,0
Canada,3,,0.0,0.0,0,0,0
Guatemala,1,5.457,44.81896179235848,0.18115001572749395,50,44654,44654
Guatemala,2,,0.0,0.0,0,0,0
Russia,1,2.14,117.0334046809362,0.06723692397270283,146,45731,45731
Russia,2,41.439,6.0112002400480105,0.5674589057295895,13,45482,45482
Russia,3,,0.0,0.0,0,0,0
China,1,40.405,6.01120024004801,0.203304990218882,44,44348,44348
China,2,18.105,11.61232046409282,0.6149270252754694,15,38388,38388
China,3,17.795,10.812160432086417,0.3770103985521911,16,35130,35130
India,1,34.191,6.41128025605121,0.2639924970629747,42,40025,40025
India,2,11.814,19.413880776155235,0.27697000054967014,33,41879,41879
India,3,,0.0,0.0,0,0,0
Iran,1,19.242,12.21244048809762,0.1845618054428975,39,42907,42907
Iran,2,,0.0,0.0,0,0,0
Iran,3,24.205,8.811760352070415,0.4581332338298512,10,38944,38944
Nicaragua,1,11.584,20.814160832166436,0.16985934576246803,53,44025,44025
El Salvador,1,14.335,17.413480696139228,0.2805553575636478,35,45578,45578
Costa Rica,1,12.302,20.214040808161634,0.20366388108323102,45,45404,45404
Dominican,1,9.625,18.613720744148832,0.204945569756161,22,32713,32713
Chile,1,2.026,120.634124824965,0.12281524310369643,123,44627,44627
Chile,2,21.267,8.411680336067214,0.1915527067728411,38,32664,32664
Chile,3,,0.0,0.0,0,0,0
Argentina,1,19.266,10.812160432086417,0.22242233206497114,23,38035,38035
Argentina,2,7.305,14.412880576115223,0.26042986705539467,26,19224,19224
Argentina,3,20.101,11.012200440088018,0.17035063708894857,25,40418,40418
Peru,1,3.378,70.62412282456492,0.10302234695106198,93,43556,43556
Colombia,1,19.946,11.212240448089618,0.17109190217968986,41,40834,40834
Colombia,2,,0.0,0.0,0,0,0
Indonesia,1,32.326,7.811560312062413,0.07899382588146749,144,46107,46107
Indonesia,2,,0.0,0.0,0,0,0
Indonesia,3,17.784,6.41128025605121,0.45663032976533374,10,20818,20818
Timor Leste,1,3.949,60.82216243248649,0.1183854214323583,65,43857,43857
Australia,1,33.36,6.01120024004801,0.2570372135924761,44,36615,36615
Australia,2,,0.0,0.0,0,0,0
Australia,3,19.636,9.011800360072014,0.22421795078110748,21,32310,32310
New Zealand,1,2.676,86.42728345669134,0.09223135045847049,118,42224,42224
New Zealand,2,12.504,17.21344068813763,0.14668340339114624,38,39301,39301
Algeria,1,,0.0,0.0,0,0,0
Algeria,2,,0.0,0.0,0,0,0
Somalia,1,,0.0,0.0,0,0,0
Somalia,2,,0.0,0.0,0,0,0
South Africa,1,,0.0,0.0,0,0,0
South Africa,2,,0.0,0.0,1,0,0
South Africa,3,,0.0,0.0,0,0,0
Saint Helena,1,,0.0,0.0,0,0,0
