country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
Japan,1,0.897,141,140,194,185,1218,327.62142857142857,301.0,128.13210079875395
Japan,2,1.097,115,114,198,184,1157,400.5701754385965,363.0,199.30334674253777
Japan,3,24.545,4,3,190,190,20846,8965.0,5859.0,8714.08863087051
Papua New Guinea,1,0.904,141,140,216,182,1579,330.0285714285714,286.0,156.58292840979743
Papua New Guinea,2,5.948,12,11,249,249,8693,2172.4545454545455,1165.0,2295.2070361610026
Papua New Guinea,3,49.777,2,1,18181,18181,18181,18181.0,18181.0,0.0
Philippines,1,0.902,139,138,183,181,1194,329.463768115942,273.0,168.6662582091186
Philippines,2,,1,,,,,,,
Philippines,3,,,,,,,,,
Tonga,1,0.994,125,124,222,182,1204,362.94354838709677,333.5,158.8970706818723
Tonga,2,,,,,,,,,
Tonga,3,,,,,,,,,
USA,1,0.909,139,138,181,181,759,331.8985507246377,310.5,116.84507827349931
USA,2,2.098,60,59,271,183,4222,766.1525423728814,614.0,612.0773689202892
USA,3,4.717,25,24,227,227,7203,1722.9583333333333,1034.5,1587.357092758449
Mexico,1,1.155,110,109,187,185,1181,422.04587155963304,363.0,209.86078326956567
Mexico,2,1.817,69,68,340,187,2958,663.6176470588235,520.0,493.47185477318476
Mexico,3,36.378,2,1,13287,13287,13287,13287.0,13287.0,0.0
Canada,1,1.898,61,60,233,193,2276,693.1166666666667,517.5,473.2369417697181
Canada,2,7.368,3,2,779,779,4603,2691.0,2691.0,1912.0
Canada,3,2.253,2,1,823,823,823,823.0,823.0,0.0
Guatemala,1,2.495,50,49,319,191,4122,911.3061224489796,605.0,830.7979003265507
Guatemala,2,34.079,3,2,1648,1648,23247,12447.5,12447.5,10799.5
Guatemala,3,,,,,,,,,
Russia,1,0.863,146,145,187,181,1177,315.3862068965517,285.0,128.67173878313153
Russia,2,10.377,13,12,629,629,14055,3790.1666666666665,2120.5,3721.3473105255243
Russia,3,14.14,9,8,229,229,20752,5164.5,1953.5,6948.164667737805
China,1,2.824,44,43,1675,193,6012,1031.3488372093022,645.0,1105.8847007422867
China,2,7.507,15,14,250,250,10897,2742.0,1628.5,2805.478950706482
China,3,6.412,16,15,198,198,9239,2342.0,1806.0,2329.0343349408427
India,1,2.673,42,41,194,194,3854,976.219512195122,669.0,857.5522315656211
India,2,3.583,33,32,197,197,4829,1308.71875,899.0,1115.6078285618282
India,3,11.747,9,8,1280,1280,7452,4290.75,3709.5,1894.0060552965506
Iran,1,3.091,39,38,246,229,3834,1129.1315789473683,855.5,910.9994272068403
Iran,2,10.484,8,7,1100,1100,8118,3829.1428571428573,4224.0,2207.3885947343447
Iran,3,11.847,10,9,509,509,10759,4327.111111111111,4420.0,2810.9748188304293
Nicaragua,1,2.318,53,52,263,182,3866,846.6346153846154,581.0,747.03248896618
Nicaragua,2,,,,,,,,,
Nicaragua,3,,,,,,,,,
El Salvador,1,3.67,35,34,214,214,4450,1340.5294117647059,1132.0,998.8618592382185
Costa Rica,1,2.825,45,44,320,186,3839,1031.909090909091,804.0,830.0383566761955
Costa Rica,2,,,,,,,,,
Dominican,1,4.265,22,21,220,220,8071,1557.7619047619048,1014.0,1753.3052570111797
Dominican,2,,0,,,,,,,
Chile,1,1.001,123,122,309,191,1112,365.7950819672131,322.5,164.47770981197812
Chile,2,2.417,38,37,191,191,3184,882.8108108108108,675.0,719.6142674636047
Chile,3,3.026,7,6,229,229,3380,1105.3333333333333,740.5,1044.5848723562656
Argentina,1,4.733,23,22,926,302,7639,1728.8636363636363,1153.0,1721.154218843077
Argentina,2,2.105,26,25,198,198,1915,768.96,690.0,483.78304889692026
Argentina,3,4.611,25,24,197,197,12472,1684.0833333333333,922.0,2479.9733687526204
Peru,1,1.296,93,92,239,186,2126,473.4347826086956,388.5,295.7947034959502
Peru,2,,0,,,,,,,
Peru,3,,1,,,,,,,
Colombia,1,2.795,41,40,186,186,5961,1020.85,595.5,1120.9185195633088
Colombia,2,15.396,8,7,661,661,15755,5623.285714285715,2496.0,5112.524277673008
Colombia,3,,0,,,,,,,
Indonesia,1,0.883,144,143,188,181,689,322.42657342657344,303.0,102.55822085275452
Indonesia,2,29.322,2,1,10710,10710,10710,10710.0,10710.0,0.0
Indonesia,3,6.333,10,9,294,294,10017,2313.1111111111113,1075.0,2992.387320609284
Timor Leste,1,1.876,65,64,646,185,5050,685.265625,472.0,800.1433512617344
Timor Leste,2,,,,,,,,,
Timor Leste,3,,,,,,,,,
Australia,1,2.331,44,43,353,183,3741,851.5116279069767,572.0,712.8090638401695
Australia,2,15.299,7,6,391,391,14962,5588.0,4306.0,5252.541289699682
Australia,3,4.423,21,20,270,270,4391,1615.5,1478.0,1039.547521761271
