country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
Japan,1,0.882,144,143,194,185,1218,322.23776223776224,296.0,124.32463471810253
Japan,2,0.969,130,129,198,184,1157,353.9922480620155,302.0,172.0827498854098
Japan,3,3.52,28,27,190,190,10761,1285.7777777777778,475.0,2066.241055338276
Papua New Guinea,1,0.904,141,140,216,182,1579,330.0285714285714,286.0,156.58292840979743
Papua New Guinea,2,1.244,59,58,182,181,3496,454.2413793103448,361.5,447.42706245687367
Papua New Guinea,3,2.264,49,48,224,181,15863,826.9791666666666,413.5,2245.3568989656496
Philippines,1,0.864,145,144,183,181,1016,315.7361111111111,272.5,136.21199705030426
Philippines,2,3.844,8,7,512,512,2742,1404.142857142857,968.0,801.6325179766294
Philippines,3,,,,,,,,,
Tonga,1,0.955,130,129,222,182,1204,348.8759689922481,316.0,157.50171687273604
Tonga,2,,,,,,,,,
Tonga,3,,,,,,,,,
USA,1,0.896,141,140,181,181,759,327.15714285714284,307.5,115.09314683759234
USA,2,0.876,145,144,183,182,966,319.8263888888889,295.5,113.73759577428842
USA,3,0.957,130,129,281,182,1412,349.6279069767442,304.0,169.70426030417354
Mexico,1,1.0,127,126,187,185,1181,365.1031746031746,334.5,168.73186342820267
Mexico,2,1.013,123,122,242,184,2958,369.88524590163934,299.5,289.4841425686561
Mexico,3,1.534,65,64,223,188,6001,560.375,351.5,835.299805833211
Canada,1,1.177,99,98,306,193,1941,430.03061224489795,333.5,281.66108792420295
Canada,2,1.826,47,46,343,198,4603,666.9130434782609,401.5,860.1848089114579
Canada,3,2.549,20,19,244,244,4149,931.0,623.0,906.3047587812135
Guatemala,1,1.254,100,99,184,184,3777,458.1313131313131,325.0,468.45763790810076
Guatemala,2,5.988,20,19,211,211,23247,2186.9473684210525,786.0,5007.135208602811
Guatemala,3,,,,,,,,,
Russia,1,0.84,150,149,187,181,1177,306.91946308724835,277.0,124.62666486086594
Russia,2,1.657,77,76,255,182,14055,605.2894736842105,256.5,1717.3931347722573
Russia,3,1.96,62,61,464,182,20752,715.8196721311475,340.0,2595.7717100624527
China,1,1.221,102,101,193,181,4597,445.84158415841586,323.0,488.01949183344277
China,2,1.492,74,73,231,181,5870,545.027397260274,326.0,782.5210220398694
China,3,1.404,73,72,181,181,5499,512.9722222222222,352.5,685.0543768405506
India,1,1.187,102,101,194,184,3045,433.6732673267327,327.0,383.39510186861986
India,2,1.141,106,105,189,183,3315,416.7238095238095,311.0,400.8348073289543
India,3,1.46,84,83,205,181,5211,533.2168674698795,321.0,742.1675361828226
Iran,1,1.062,115,114,246,181,2260,387.79824561403507,303.0,310.34333505161214
Iran,2,1.406,74,73,227,181,4817,513.6575342465753,333.0,738.5159724889621
Iran,3,1.879,62,61,190,182,4420,686.2622950819672,345.0,911.9438237954502
Nicaragua,1,1.22,103,102,204,182,3866,445.6862745098039,328.0,452.6463360040435
Nicaragua,2,,,,,,,,,
Nicaragua,3,,,,,,,,,
El Salvador,1,1.392,91,90,203,184,4450,508.56666666666666,327.0,567.7804554187786
Costa Rica,1,1.292,98,97,183,183,3304,471.9484536082474,346.0,446.24865638156376
Costa Rica,2,,,,,,,,,
Dominican,1,1.337,85,84,286,184,8071,488.4047619047619,303.0,892.2219337277825
Dominican,2,3.962,13,12,239,239,5696,1447.0,547.0,1744.351025453306
Chile,1,0.947,130,129,309,187,1112,345.94573643410854,309.0,152.29516985410856
Chile,2,1.161,80,79,195,183,2761,423.88607594936707,301.0,425.3305784273702
Chile,3,1.487,68,67,242,183,13608,543.2089552238806,292.0,1629.695315698415
Argentina,1,1.375,78,77,288,181,7639,502.038961038961,312.0,974.2476076847406
Argentina,2,1.441,70,69,198,198,14530,526.1594202898551,301.0,1702.1230274783686
Argentina,3,1.831,63,62,233,182,12472,668.9032258064516,345.5,1613.505457568241
Peru,1,1.065,113,112,230,184,2126,388.89285714285717,332.5,247.91071107006513
Peru,2,2.808,19,18,213,213,2834,1025.7222222222222,861.5,800.8036106558874
Peru,3,7.226,14,13,245,245,18438,2639.4615384615386,828.0,4736.891639289089
Colombia,1,1.519,79,78,334,186,5447,554.974358974359,338.0,747.6883859064957
Colombia,2,2.304,48,47,476,185,12632,841.6808510638298,363.0,1813.198304001335
Colombia,3,3.514,15,14,268,268,10228,1283.5714285714287,452.5,2509.5845619284055
Indonesia,1,0.883,144,143,188,181,689,322.42657342657344,303.0,102.55822085275452
Indonesia,2,2.31,43,42,196,182,10710,843.7619047619048,437.5,1682.422315612986
Indonesia,3,1.4,43,42,294,203,2672,511.1904761904762,382.0,416.03881676131397
Timor Leste,1,1.245,98,97,185,185,5050,454.64948453608247,294.0,624.4223068926151
Timor Leste,2,,,,,,,,,
Timor Leste,3,,,,,,,,,
Australia,1,1.297,79,78,357,183,3741,473.65384615384613,356.5,454.9548815872613
Australia,2,1.688,57,56,182,182,7303,616.625,372.0,1003.7083128240708
Australia,3,1.671,56,55,197,185,4391,610.4727272727273,351.0,765.1063111999644
New Zealand,1,0.955,122,121,187,182,921,348.9586776859504,325.0,138.87019902327455
New Zealand,2,1.266,86,85,217,181,3550,462.36470588235295,308.0,473.1836814614216
New Zealand,3,,,,,,,,,
Algeria,1,2.381,49,48,216,184,6049,869.7291666666666,373.0,1249.8829068420657
Algeria,2,4.092,26,25,186,186,8505,1494.76,550.0,2098.705892306018
Algeria,3,4.867,22,21,227,227,14416,1777.8095238095239,878.0,2949.1263051484966
Somalia,1,1.053,57,56,183,182,2276,384.625,312.0,318.5360241177037
Somalia,2,2.665,39,38,189,189,17293,973.4473684210526,398.0,2710.6265414530853
Somalia,3,,,,,,,,,
South Africa,1,0.978,53,52,229,182,1438,357.38461538461536,322.0,192.85368645348274
South Africa,2,1.007,53,52,217,183,1285,367.7692307692308,298.5,202.10285037618226
South Africa,3,1.346,39,38,360,181,2294,491.57894736842104,363.0,385.7947116755058
Saint Helena,1,1.818,58,57,186,186,10513,663.9473684210526,355.0,1406.1990503338213
Saint Helena,2,4.278,13,12,293,293,4474,1562.5833333333333,1400.0,1247.7636300152722
