country,cluster,return_p_years,best_frequency,best_power,num_records,Number of the day,time_span_days
Japan,1,,0.0,0.0,0,0,0
Japan,2,,0.0,0.0,0,0,0
Papua New Guinea,1,,0.0,0.0,0,0,0
Philippines,1,,0.0,0.0,0,0,0
Tonga,1,,0.0,0.0,0,0,0
USA,1,,0.0,0.0,0,0,0
Mexico,1,,0.0,0.0,0,0,0
Canada,1,,0.0,0.0,0,0,0
Guatemala,1,,0.0,0.0,0,0,0
Russia,1,,0.0,0.0,0,0,0
China,1,,0.0,0.0,0,0,0
China,2,,0.0,0.0,0,0,0
India,1,,0.0,0.0,0,0,0
India,2,,0.0,0.0,0,0,0
Iran,1,,0.0,0.0,0,0,0
Iran,2,,0.0,0.0,0,0,0
Iran,3,,0.0,0.0,0,0,0
Nicaragua,1,,0.0,0.0,0,0,0
El Salvador,1,,0.0,0.0,0,0,0
Costa Rica,1,,0.0,0.0,0,0,0
Dominican,1,,0.0,0.0,0,0,0
Chile,1,36.3,6.01120024004801,0.4384198207549922,11,39842,39842
Argentina,1,,0.0,0.0,0,0,0
Argentina,2,,0.0,0.0,0,0,0
Argentina,3,,0.0,0.0,0,0,0
Peru,1,,0.0,0.0,0,0,0
Colombia,1,,0.0,0.0,0,0,0
Colombia,2,,0.0,0.0,0,0,0
Indonesia,1,23.388,8.611720344068814,0.44941208809755195,10,36776,36776
Timor Leste,1,,0.0,0.0,0,0,0
Australia,3,,0.0,0.0,0,0,0
New Zealand,1,,0.0,0.0,0,0,0
Algeria,1,,0.0,0.0,0,0,0
Algeria,2,,0.0,0.0,0,0,0
Somalia,1,,0.0,0.0,0,0,0
Somalia,2,,0.0,0.0,0,0,0
South Africa,1,,0.0,0.0,0,0,0
South Africa,2,,0.0,0.0,0,0,0
South Africa,3,,0.0,0.0,0,0,0
Saint Helena,1,,0.0,0.0,0,0,0
