country,cluster,return_P_nomes,avg_gap,Number of record,Number of the day,percent,highest_amplitude,highest_frequency,highest_years_not_normalised
Japan,1,,0.0,0,0,0.0,0.0,0.0,0.0
Japan,2,,0.0,0,0,0.0,0.0,0.0,0.0
Papua New Guinea,1,,0.0,0,0,0.0,0.0,0.0,0.0
Philippines,1,,0.0,0,0,0.0,0.0,0.0,0.0
Tonga,1,,0.0,0,0,0.0,0.0,0.0,0.0
USA,1,,0.0,0,0,0.0,0.0,0.0,0.0
Mexico,1,,0.0,0,0,0.0,0.0,0.0,0.0
Canada,1,,0.0,0,0,0.0,0.0,0.0,0.0
Guatemala,1,,0.0,0,0,0.0,0.0,0.0,0.0
Russia,1,,0.0,0,0,0.0,0.0,0.0,0.0
China,1,,0.0,0,0,0.0,0.0,0.0,0.0
China,2,,0.0,0,0,0.0,0.0,0.0,0.0
India,1,,0.0,0,0,0.0,0.0,0.0,0.0
India,2,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,1,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,2,,0.0,0,0,0.0,0.0,0.0,0.0
Iran,3,,0.0,0,0,0.0,0.0,0.0,0.0
Nicaragua,1,,0.0,0,0,0.0,0.0,0.0,0.0
El Salvador,1,,0.0,0,0,0.0,0.0,0.0,0.0
Costa Rica,1,,0.0,0,0,0.0,0.0,0.0,0.0
Dominican,1,,0.0,0,0,0.0,0.0,0.0,0.0
Chile,1,24.245,3984.2,11,39842,4.4991,0.15511764088682642,9.0,12.120161228990797
Argentina,1,,0.0,0,0,0.0,0.0,0.0,0.0
Argentina,2,,0.0,0,0,0.0,0.0,0.0,0.0
Argentina,3,,0.0,0,0,0.0,0.0,0.0,0.0
Peru,1,,0.0,0,0,0.0,0.0,0.0,0.0
Colombia,1,,0.0,0,0,0.0,0.0,0.0,0.0
Colombia,2,,0.0,0,0,0.0,0.0,0.0,0.0
Indonesia,1,25.177,4086.222222222222,10,36776,3.9992,0.13471739343286213,8.0,12.58590006844627
Timor Leste,1,,0.0,0,0,0.0,0.0,0.0,0.0
Australia,3,,0.0,0,0,0.0,0.0,0.0,0.0
New Zealand,1,,0.0,0,0,0.0,0.0,0.0,0.0
Algeria,1,,0.0,0,0,0.0,0.0,0.0,0.0
Algeria,2,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,1,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,2,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,1,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,2,,0.0,0,0,0.0,0.0,0.0,0.0
South Africa,3,,0.0,0,0,0.0,0.0,0.0,0.0
Saint Helena,1,,0.0,0,0,0.0,0.0,0.0,0.0
